bill_id,status,cong,cosponsors,majority,republican,independent
103_hr1002,0,103,3.0,0.0,1,0
103_hr1003,0,103,3.0,0.0,1,0
103_hr1005,0,103,6.0,0.0,1,0
103_hr1007,0,103,9.0,0.0,1,0
103_hr1013,0,103,96.0,1.0,0,0
103_hr1014,0,103,0.0,1.0,0,0
103_hr102,0,103,1.0,0.0,1,0
103_hr1020,0,103,26.0,1.0,0,0
103_hr1021,0,103,26.0,1.0,0,0
103_hr1028,0,103,4.0,1.0,0,0
103_hr103,0,103,6.0,0.0,1,0
103_hr1032,0,103,34.0,1.0,0,0
103_hr1038,0,103,0.0,1.0,0,0
103_hr1044,0,103,11.0,1.0,0,0
103_hr1046,0,103,6.0,1.0,0,0
103_hr1049,0,103,10.0,0.0,1,0
103_hr1050,0,103,10.0,0.0,1,0
103_hr1051,0,103,5.0,0.0,1,0
103_hr1052,0,103,3.0,1.0,0,0
103_hr107,0,103,2.0,0.0,1,0
103_hr1070,0,103,0.0,1.0,0,0
103_hr1072,0,103,2.0,1.0,0,0
103_hr1075,0,103,0.0,0.0,1,0
103_hr1077,0,103,9.0,1.0,0,0
103_hr1078,0,103,61.0,0.0,1,0
103_hr1079,0,103,64.0,0.0,1,0
103_hr1085,0,103,3.0,0.0,1,0
103_hr1091,0,103,11.0,0.0,1,0
103_hr1093,0,103,21.0,1.0,0,0
103_hr1095,0,103,6.0,1.0,0,0
103_hr11,0,103,45.0,1.0,0,0
103_hr1100,0,103,1.0,1.0,0,0
103_hr1104,0,103,0.0,1.0,0,0
103_hr1107,0,103,5.0,0.0,1,0
103_hr1108,0,103,38.0,0.0,1,0
103_hr111,0,103,0.0,0.0,1,0
103_hr1123,0,103,23.0,0.0,1,0
103_hr1124,0,103,19.0,0.0,1,0
103_hr1129,0,103,36.0,0.0,1,0
103_hr1134,1,103,0.0,1.0,0,0
103_hr1149,0,103,27.0,1.0,0,0
103_hr1153,0,103,28.0,1.0,0,0
103_hr1158,0,103,11.0,0.0,1,0
103_hr1159,0,103,3.0,1.0,0,0
103_hr1166,0,103,0.0,1.0,0,0
103_hr1175,0,103,0.0,1.0,0,0
103_hr1182,0,103,36.0,1.0,0,0
103_hr1185,0,103,0.0,1.0,0,0
103_hr1190,0,103,3.0,0.0,1,0
103_hr1198,0,103,0.0,1.0,0,0
103_hr1199,0,103,0.0,0.0,1,0
103_hr1201,0,103,0.0,1.0,0,0
103_hr1205,0,103,16.0,0.0,1,0
103_hr1207,0,103,2.0,1.0,0,0
